date,EST,TAM,value
01/01/2020,PED,PM10,45
02/01/2020,PED,PM10,0
03/01/2020,PED,PM10,25
04/01/2020,PED,PM10,47
05/01/2020,PED,PM10,33
06/01/2020,PED,PM10,61
07/01/2020,PED,PM10,40
08/01/2020,PED,PM10,54
09/01/2020,PED,PM10,49
10/01/2020,PED,PM10,31
11/01/2020,PED,PM10,29
12/01/2020,PED,PM10,43
13/01/2020,PED,PM10,41
14/01/2020,PED,PM10,36
15/01/2020,PED,PM10,39
16/01/2020,PED,PM10,46
17/01/2020,PED,PM10,29
18/01/2020,PED,PM10,31
19/01/2020,PED,PM10,15
20/01/2020,PED,PM10,19
21/01/2020,PED,PM10,29
22/01/2020,PED,PM10,31
23/01/2020,PED,PM10,27
24/01/2020,PED,PM10,25
25/01/2020,PED,PM10,26
26/01/2020,PED,PM10,17
27/01/2020,PED,PM10,21
28/01/2020,PED,PM10,0
29/01/2020,PED,PM10,22
30/01/2020,PED,PM10,22
31/01/2020,PED,PM10,17
01/02/2020,PED,PM10,38
02/02/2020,PED,PM10,33
03/02/2020,PED,PM10,18
04/02/2020,PED,PM10,13
05/02/2020,PED,PM10,0
06/02/2020,PED,PM10,17
07/02/2020,PED,PM10,26
08/02/2020,PED,PM10,21
09/02/2020,PED,PM10,21
10/02/2020,PED,PM10,0
11/02/2020,PED,PM10,31
12/02/2020,PED,PM10,26
13/02/2020,PED,PM10,37
14/02/2020,PED,PM10,44
15/02/2020,PED,PM10,41
16/02/2020,PED,PM10,24
17/02/2020,PED,PM10,26
18/02/2020,PED,PM10,39
19/02/2020,PED,PM10,45
20/02/2020,PED,PM10,47
21/02/2020,PED,PM10,40
22/02/2020,PED,PM10,41
23/02/2020,PED,PM10,39
24/02/2020,PED,PM10,36
25/02/2020,PED,PM10,24
26/02/2020,PED,PM10,37
27/02/2020,PED,PM10,49
28/02/2020,PED,PM10,48
29/02/2020,PED,PM10,40
01/03/2020,PED,PM10,35
02/03/2020,PED,PM10,36
03/03/2020,PED,PM10,29
04/03/2020,PED,PM10,28
05/03/2020,PED,PM10,49
06/03/2020,PED,PM10,62
07/03/2020,PED,PM10,66
08/03/2020,PED,PM10,39
09/03/2020,PED,PM10,44
10/03/2020,PED,PM10,51
11/03/2020,PED,PM10,43
12/03/2020,PED,PM10,36
13/03/2020,PED,PM10,40
14/03/2020,PED,PM10,43
15/03/2020,PED,PM10,34
16/03/2020,PED,PM10,31
17/03/2020,PED,PM10,29
18/03/2020,PED,PM10,39
19/03/2020,PED,PM10,32
20/03/2020,PED,PM10,30
21/03/2020,PED,PM10,36
22/03/2020,PED,PM10,30
23/03/2020,PED,PM10,32
24/03/2020,PED,PM10,32
25/03/2020,PED,PM10,34
26/03/2020,PED,PM10,54
27/03/2020,PED,PM10,37
28/03/2020,PED,PM10,42
29/03/2020,PED,PM10,49
30/03/2020,PED,PM10,48
31/03/2020,PED,PM10,48
01/04/2020,PED,PM10,40
02/04/2020,PED,PM10,39
03/04/2020,PED,PM10,29
04/04/2020,PED,PM10,24
05/04/2020,PED,PM10,29
06/04/2020,PED,PM10,32
07/04/2020,PED,PM10,32
08/04/2020,PED,PM10,35
09/04/2020,PED,PM10,38
10/04/2020,PED,PM10,32
11/04/2020,PED,PM10,38
12/04/2020,PED,PM10,33
13/04/2020,PED,PM10,31
14/04/2020,PED,PM10,49
15/04/2020,PED,PM10,52
16/04/2020,PED,PM10,50
17/04/2020,PED,PM10,57
18/04/2020,PED,PM10,51
19/04/2020,PED,PM10,55
20/04/2020,PED,PM10,63
21/04/2020,PED,PM10,55
22/04/2020,PED,PM10,37
23/04/2020,PED,PM10,34
24/04/2020,PED,PM10,42
25/04/2020,PED,PM10,37
26/04/2020,PED,PM10,30
27/04/2020,PED,PM10,25
28/04/2020,PED,PM10,29
29/04/2020,PED,PM10,30
30/04/2020,PED,PM10,32
01/05/2020,PED,PM10,21
02/05/2020,PED,PM10,30
03/05/2020,PED,PM10,26
04/05/2020,PED,PM10,27
05/05/2020,PED,PM10,31
06/05/2020,PED,PM10,25
07/05/2020,PED,PM10,30
08/05/2020,PED,PM10,32
09/05/2020,PED,PM10,45
10/05/2020,PED,PM10,35
11/05/2020,PED,PM10,32
12/05/2020,PED,PM10,40
13/05/2020,PED,PM10,42
14/05/2020,PED,PM10,53
15/05/2020,PED,PM10,58
16/05/2020,PED,PM10,41
17/05/2020,PED,PM10,47
18/05/2020,PED,PM10,0
19/05/2020,PED,PM10,0
20/05/2020,PED,PM10,0
21/05/2020,PED,PM10,64
22/05/2020,PED,PM10,40
23/05/2020,PED,PM10,34
24/05/2020,PED,PM10,32
25/05/2020,PED,PM10,39
26/05/2020,PED,PM10,35
27/05/2020,PED,PM10,55
28/05/2020,PED,PM10,40
29/05/2020,PED,PM10,23
30/05/2020,PED,PM10,21
31/05/2020,PED,PM10,24
01/06/2020,PED,PM10,29
02/06/2020,PED,PM10,31
03/06/2020,PED,PM10,17
04/06/2020,PED,PM10,24
05/06/2020,PED,PM10,23
06/06/2020,PED,PM10,27
07/06/2020,PED,PM10,19
08/06/2020,PED,PM10,16
09/06/2020,PED,PM10,20
10/06/2020,PED,PM10,27
11/06/2020,PED,PM10,22
12/06/2020,PED,PM10,17
13/06/2020,PED,PM10,20
14/06/2020,PED,PM10,0
15/06/2020,PED,PM10,35
16/06/2020,PED,PM10,41
18/06/2020,PED,PM10,29
19/06/2020,PED,PM10,0
20/06/2020,PED,PM10,0
21/06/2020,PED,PM10,0
22/06/2020,PED,PM10,22
23/06/2020,PED,PM10,14
24/06/2020,PED,PM10,11
25/06/2020,PED,PM10,10
26/06/2020,PED,PM10,16
27/06/2020,PED,PM10,28
28/06/2020,PED,PM10,29
29/06/2020,PED,PM10,32
30/06/2020,PED,PM10,25
01/07/2020,PED,PM10,0
02/07/2020,PED,PM10,0
03/07/2020,PED,PM10,0
04/07/2020,PED,PM10,0
05/07/2020,PED,PM10,0
06/07/2020,PED,PM10,0
07/07/2020,PED,PM10,0
08/07/2020,PED,PM10,8
09/07/2020,PED,PM10,18
10/07/2020,PED,PM10,22
11/07/2020,PED,PM10,17
12/07/2020,PED,PM10,15
13/07/2020,PED,PM10,22
14/07/2020,PED,PM10,25
15/07/2020,PED,PM10,29
16/07/2020,PED,PM10,30
17/07/2020,PED,PM10,37
18/07/2020,PED,PM10,0
19/07/2020,PED,PM10,0
20/07/2020,PED,PM10,28
21/07/2020,PED,PM10,23
22/07/2020,PED,PM10,16
23/07/2020,PED,PM10,26
24/07/2020,PED,PM10,23
25/07/2020,PED,PM10,22
26/07/2020,PED,PM10,13
27/07/2020,PED,PM10,16
28/07/2020,PED,PM10,0
29/07/2020,PED,PM10,16
30/07/2020,PED,PM10,26
31/07/2020,PED,PM10,0
01/08/2020,PED,PM10,20
02/08/2020,PED,PM10,20
03/08/2020,PED,PM10,19
04/08/2020,PED,PM10,26
05/08/2020,PED,PM10,22
06/08/2020,PED,PM10,22
07/08/2020,PED,PM10,18
08/08/2020,PED,PM10,11
09/08/2020,PED,PM10,12
10/08/2020,PED,PM10,17
11/08/2020,PED,PM10,17
12/08/2020,PED,PM10,15
13/08/2020,PED,PM10,18
14/08/2020,PED,PM10,24
15/08/2020,PED,PM10,19
16/08/2020,PED,PM10,17
17/08/2020,PED,PM10,17
18/08/2020,PED,PM10,17
19/08/2020,PED,PM10,32
20/08/2020,PED,PM10,25
21/08/2020,PED,PM10,23
22/08/2020,PED,PM10,22
23/08/2020,PED,PM10,22
24/08/2020,PED,PM10,22
25/08/2020,PED,PM10,15
26/08/2020,PED,PM10,16
27/08/2020,PED,PM10,10
28/08/2020,PED,PM10,20
29/08/2020,PED,PM10,24
30/08/2020,PED,PM10,0
31/08/2020,PED,PM10,11
01/09/2020,PED,PM10,19
02/09/2020,PED,PM10,26
03/09/2020,PED,PM10,26
04/09/2020,PED,PM10,16
05/09/2020,PED,PM10,13
06/09/2020,PED,PM10,11
07/09/2020,PED,PM10,15
08/09/2020,PED,PM10,20
09/09/2020,PED,PM10,20
10/09/2020,PED,PM10,19
11/09/2020,PED,PM10,18
12/09/2020,PED,PM10,26
13/09/2020,PED,PM10,17
14/09/2020,PED,PM10,18
15/09/2020,PED,PM10,20
16/09/2020,PED,PM10,19
17/09/2020,PED,PM10,22
18/09/2020,PED,PM10,14
19/09/2020,PED,PM10,15
20/09/2020,PED,PM10,26
21/09/2020,PED,PM10,23
22/09/2020,PED,PM10,30
23/09/2020,PED,PM10,29
24/09/2020,PED,PM10,23
25/09/2020,PED,PM10,30
26/09/2020,PED,PM10,33
27/09/2020,PED,PM10,21
28/09/2020,PED,PM10,22
29/09/2020,PED,PM10,19
30/09/2020,PED,PM10,35
01/10/2020,PED,PM10,35
02/10/2020,PED,PM10,21
03/10/2020,PED,PM10,23
04/10/2020,PED,PM10,23
05/10/2020,PED,PM10,31
06/10/2020,PED,PM10,31
07/10/2020,PED,PM10,30
08/10/2020,PED,PM10,37
09/10/2020,PED,PM10,26
10/10/2020,PED,PM10,23
11/10/2020,PED,PM10,19
12/10/2020,PED,PM10,21
13/10/2020,PED,PM10,27
14/10/2020,PED,PM10,18
15/10/2020,PED,PM10,19
16/10/2020,PED,PM10,23
17/10/2020,PED,PM10,17
18/10/2020,PED,PM10,24
19/10/2020,PED,PM10,28
20/10/2020,PED,PM10,23
21/10/2020,PED,PM10,25
22/10/2020,PED,PM10,25
23/10/2020,PED,PM10,24
24/10/2020,PED,PM10,25
25/10/2020,PED,PM10,18
26/10/2020,PED,PM10,23
27/10/2020,PED,PM10,34
28/10/2020,PED,PM10,34
29/10/2020,PED,PM10,42
30/10/2020,PED,PM10,29
31/10/2020,PED,PM10,35
01/11/2020,PED,PM10,41
02/11/2020,PED,PM10,20
03/11/2020,PED,PM10,24
04/11/2020,PED,PM10,37
05/11/2020,PED,PM10,40
06/11/2020,PED,PM10,54
07/11/2020,PED,PM10,48
08/11/2020,PED,PM10,29
09/11/2020,PED,PM10,37
10/11/2020,PED,PM10,35
11/11/2020,PED,PM10,45
12/11/2020,PED,PM10,48
13/11/2020,PED,PM10,34
14/11/2020,PED,PM10,43
15/11/2020,PED,PM10,35
16/11/2020,PED,PM10,25
17/11/2020,PED,PM10,17
18/11/2020,PED,PM10,16
19/11/2020,PED,PM10,21
20/11/2020,PED,PM10,33
21/11/2020,PED,PM10,15
22/11/2020,PED,PM10,21
23/11/2020,PED,PM10,26
24/11/2020,PED,PM10,30
25/11/2020,PED,PM10,31
26/11/2020,PED,PM10,29
27/11/2020,PED,PM10,25
28/11/2020,PED,PM10,33
29/11/2020,PED,PM10,37
30/11/2020,PED,PM10,52
01/12/2020,PED,PM10,34
02/12/2020,PED,PM10,23
03/12/2020,PED,PM10,18
04/12/2020,PED,PM10,26
05/12/2020,PED,PM10,20
06/12/2020,PED,PM10,16
07/12/2020,PED,PM10,40
08/12/2020,PED,PM10,38
09/12/2020,PED,PM10,36
10/12/2020,PED,PM10,37
11/12/2020,PED,PM10,40
12/12/2020,PED,PM10,33
13/12/2020,PED,PM10,21
14/12/2020,PED,PM10,31
15/12/2020,PED,PM10,25
16/12/2020,PED,PM10,31
17/12/2020,PED,PM10,29
18/12/2020,PED,PM10,30
19/12/2020,PED,PM10,41
20/12/2020,PED,PM10,32
21/12/2020,PED,PM10,41
22/12/2020,PED,PM10,43
23/12/2020,PED,PM10,47
24/12/2020,PED,PM10,50
25/12/2020,PED,PM10,65
26/12/2020,PED,PM10,31
27/12/2020,PED,PM10,26
28/12/2020,PED,PM10,28
29/12/2020,PED,PM10,42
30/12/2020,PED,PM10,35
31/12/2020,PED,PM10,47
01/01/2021,PED,PM10,34
02/01/2021,PED,PM10,26
03/01/2021,PED,PM10,22
04/01/2021,PED,PM10,37
05/01/2021,PED,PM10,37
06/01/2021,PED,PM10,25
07/01/2021,PED,PM10,34
08/01/2021,PED,PM10,29
09/01/2021,PED,PM10,26
10/01/2021,PED,PM10,20
12/01/2021,PED,PM10,18
13/01/2021,PED,PM10,30
14/01/2021,PED,PM10,32
15/01/2021,PED,PM10,42
16/01/2021,PED,PM10,29
17/01/2021,PED,PM10,16
18/01/2021,PED,PM10,23
19/01/2021,PED,PM10,28
20/01/2021,PED,PM10,30
21/01/2021,PED,PM10,21
22/01/2021,PED,PM10,29
23/01/2021,PED,PM10,37
24/01/2021,PED,PM10,28
25/01/2021,PED,PM10,27
26/01/2021,PED,PM10,29
27/01/2021,PED,PM10,80
28/01/2021,PED,PM10,28
29/01/2021,PED,PM10,37
30/01/2021,PED,PM10,38
31/01/2021,PED,PM10,38
01/02/2021,PED,PM10,21
02/02/2021,PED,PM10,34
03/02/2021,PED,PM10,26
04/02/2021,PED,PM10,32
05/02/2021,PED,PM10,43
06/02/2021,PED,PM10,33
07/02/2021,PED,PM10,39
08/02/2021,PED,PM10,25
09/02/2021,PED,PM10,35
10/02/2021,PED,PM10,31
11/02/2021,PED,PM10,27
12/02/2021,PED,PM10,22
13/02/2021,PED,PM10,32
14/02/2021,PED,PM10,24
15/02/2021,PED,PM10,0
16/02/2021,PED,PM10,0
17/02/2021,PED,PM10,32
18/02/2021,PED,PM10,33
19/02/2021,PED,PM10,61
20/02/2021,PED,PM10,44
21/02/2021,PED,PM10,42
22/02/2021,PED,PM10,57
23/02/2021,PED,PM10,50
24/02/2021,PED,PM10,39
25/02/2021,PED,PM10,40
26/02/2021,PED,PM10,51
27/02/2021,PED,PM10,50
28/02/2021,PED,PM10,46
01/03/2021,PED,PM10,60
02/03/2021,PED,PM10,0
03/03/2021,PED,PM10,52
04/03/2021,PED,PM10,46
05/03/2021,PED,PM10,43
06/03/2021,PED,PM10,48
07/03/2021,PED,PM10,34
08/03/2021,PED,PM10,44
09/03/2021,PED,PM10,38
10/03/2021,PED,PM10,31
11/03/2021,PED,PM10,39
12/03/2021,PED,PM10,42
13/03/2021,PED,PM10,53
14/03/2021,PED,PM10,40
15/03/2021,PED,PM10,37
16/03/2021,PED,PM10,33
17/03/2021,PED,PM10,37
18/03/2021,PED,PM10,37
19/03/2021,PED,PM10,45
20/03/2021,PED,PM10,44
21/03/2021,PED,PM10,33
22/03/2021,PED,PM10,28
23/03/2021,PED,PM10,32
24/03/2021,PED,PM10,35
25/03/2021,PED,PM10,34
26/03/2021,PED,PM10,47
27/03/2021,PED,PM10,53
28/03/2021,PED,PM10,81
29/03/2021,PED,PM10,34
30/03/2021,PED,PM10,48
31/03/2021,PED,PM10,43
01/04/2021,PED,PM10,24
02/04/2021,PED,PM10,16
03/04/2021,PED,PM10,24
04/04/2021,PED,PM10,25
05/04/2021,PED,PM10,29
06/04/2021,PED,PM10,28
07/04/2021,PED,PM10,24
08/04/2021,PED,PM10,32
09/04/2021,PED,PM10,34
10/04/2021,PED,PM10,34
11/04/2021,PED,PM10,32
12/04/2021,PED,PM10,39
13/04/2021,PED,PM10,42
14/04/2021,PED,PM10,40
15/04/2021,PED,PM10,30
16/04/2021,PED,PM10,40
17/04/2021,PED,PM10,44
18/04/2021,PED,PM10,39
19/04/2021,PED,PM10,37
20/04/2021,PED,PM10,45
21/04/2021,PED,PM10,70
22/04/2021,PED,PM10,54
23/04/2021,PED,PM10,59
24/04/2021,PED,PM10,63
25/04/2021,PED,PM10,52
26/04/2021,PED,PM10,51
27/04/2021,PED,PM10,51
28/04/2021,PED,PM10,49
29/04/2021,PED,PM10,40
30/04/2021,PED,PM10,50
01/05/2021,PED,PM10,45
02/05/2021,PED,PM10,39
03/05/2021,PED,PM10,29
04/05/2021,PED,PM10,0
05/05/2021,PED,PM10,0
06/05/2021,PED,PM10,0
07/05/2021,PED,PM10,26
08/05/2021,PED,PM10,30
09/05/2021,PED,PM10,34
10/05/2021,PED,PM10,23
11/05/2021,PED,PM10,27
12/05/2021,PED,PM10,21
13/05/2021,PED,PM10,14
14/05/2021,PED,PM10,12
15/05/2021,PED,PM10,23
16/05/2021,PED,PM10,15
17/05/2021,PED,PM10,18
18/05/2021,PED,PM10,23
19/05/2021,PED,PM10,22
20/05/2021,PED,PM10,22
21/05/2021,PED,PM10,29
22/05/2021,PED,PM10,28
23/05/2021,PED,PM10,35
24/05/2021,PED,PM10,19
25/05/2021,PED,PM10,23
26/05/2021,PED,PM10,30
27/05/2021,PED,PM10,0
28/05/2021,PED,PM10,31
29/05/2021,PED,PM10,38
30/05/2021,PED,PM10,26
31/05/2021,PED,PM10,31
01/06/2021,PED,PM10,35
02/06/2021,PED,PM10,16
03/06/2021,PED,PM10,18
04/06/2021,PED,PM10,21
05/06/2021,PED,PM10,27
06/06/2021,PED,PM10,21
07/06/2021,PED,PM10,25
08/06/2021,PED,PM10,26
09/06/2021,PED,PM10,35
10/06/2021,PED,PM10,19
11/06/2021,PED,PM10,20
12/06/2021,PED,PM10,21
13/06/2021,PED,PM10,17
14/06/2021,PED,PM10,10
15/06/2021,PED,PM10,14
16/06/2021,PED,PM10,17
17/06/2021,PED,PM10,13
18/06/2021,PED,PM10,10
19/06/2021,PED,PM10,5
20/06/2021,PED,PM10,9
21/06/2021,PED,PM10,23
22/06/2021,PED,PM10,24
23/06/2021,PED,PM10,12
24/06/2021,PED,PM10,19
25/06/2021,PED,PM10,13
26/06/2021,PED,PM10,8
27/06/2021,PED,PM10,5
28/06/2021,PED,PM10,8
29/06/2021,PED,PM10,13
30/06/2021,PED,PM10,19
01/07/2021,PED,PM10,16
02/07/2021,PED,PM10,13
03/07/2021,PED,PM10,11
04/07/2021,PED,PM10,20
05/07/2021,PED,PM10,27
06/07/2021,PED,PM10,27
07/07/2021,PED,PM10,38
08/07/2021,PED,PM10,23
09/07/2021,PED,PM10,11
10/07/2021,PED,PM10,22
11/07/2021,PED,PM10,28
12/07/2021,PED,PM10,33
13/07/2021,PED,PM10,29
14/07/2021,PED,PM10,24
15/07/2021,PED,PM10,20
16/07/2021,PED,PM10,24
17/07/2021,PED,PM10,36
18/07/2021,PED,PM10,21
19/07/2021,PED,PM10,18
20/07/2021,PED,PM10,22
21/07/2021,PED,PM10,24
22/07/2021,PED,PM10,19
23/07/2021,PED,PM10,35
24/07/2021,PED,PM10,41
25/07/2021,PED,PM10,20
26/07/2021,PED,PM10,18
27/07/2021,PED,PM10,20
28/07/2021,PED,PM10,25
29/07/2021,PED,PM10,23
30/07/2021,PED,PM10,12
31/07/2021,PED,PM10,20
